0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10
0,0,0.937633007,0.633333333,1.523065294,1.179635014,1.803061868,1.528059306,2.383487692,5.506305206,2.585319939,2.39164205,3.233510327,2.7954184,3.303210567,2.907238248,3.42263389,3.72627292,3.177012984,3.899437,3.655559616
0,0,0.809708929,0.568816503,1.029544984,1.174298902,1.901895533,1.683405757,2.258644545,2.208674692,2.339345818,2.306269943,2.133483771,2.938025588,2.691187184,3.006590102,2.831153276,3.338278737,3.377071617,4.738365788,2.878382666
0,0,0.460947571,0.67475469,1.043352103,1.110896688,1.764178366,1.546598948,1.933969007,2.666416513,2.938164515,3.761864004,3.259645255,2.327591553,3.238928907,3.44333199,3.194041209,2.741552665,3.810438024,3.457306114,3.059941491
0,0,0.951440126,0.67475469,1.242823172,2.288952324,1.875639496,1.78757709,2.238042152,2.223145277,2.056831774,2.185254725,3.076845013,2.855361479,6.782276874,2.690537409,3.3605034,3.195855428,3.489452161,2.997987371,3.518251051
0,0,0.843571193,0.641421356,1.678215592,1.273116177,2.081212992,1.693374363,2.157328642,1.851533078,3.277177125,2.456439331,2.927629029,3.558794119,3.431866221,3.124921889,3.906210241,3.6096724,4.038409996,3.665609544,4.256848515
0,0,0.729764074,0.688561808,1.505920579,1.446819595,1.569908479,1.82224946,2.595563339,2.346988639,2.165686099,2.082218375,3.211883491,3.490524022,2.512118046,3.345481474,7.203231258,4.236385113,3.867571702,3.304718516,3.890979023
0,0,0.547140452,0.594280904,0.842823172,1.298710475,1.623961116,2.941636962,2.230547363,2.65678505,2.469770143,2.647136969,3.123750208,2.525470141,3.118996686,3.521734937,2.528310777,3.618415984,4.04215257,4.105602228,3.584894172
0,0,0.984773459,0.954699544,1.879526657,1.305758243,1.379366405,1.950731251,1.93138498,2.53092983,2.902083227,2.550820445,2.702467977,2.948351285,2.637702804,3.312428184,3.839384664,2.989275241,3.896485268,3.135429778,4.418486277
0,0,0.680473785,0.613807119,1.368946401,1.812173937,1.569480662,2.026015248,2.28928939,2.511116452,2.701197538,2.82185251,17.37318202,2.581117585,2.908175886,2.898625729,2.538120133,7.793825939,3.158722171,4.070561938,3.597751509
0,0,0.769035594,0.721676051,1.779280341,1.284903356,1.558803065,1.768951731,2.092535592,2.19843046,4.638929301,2.133316748,57.36321073,3.375667428,3.88278489,3.301375039,3.503240327,3.530483411,3.808016358,3.589063801,3.994627136
0,0,0.93570226,0.641202266,1.30411973,1.506670158,1.822276686,2.090846873,2.162337111,2.526753683,2.652143285,2.199334226,2.772516403,18.32933162,6.233018943,13.88509247,4.269966134,3.822192906,4.572070976,4.406810233,45.32162517
0,0,1.13548317,0.57475469,0.951221035,1.381357035,2.260197638,1.270346659,1.970127569,2.638586642,2.906266162,2.741953691,2.369403173,2.584801703,3.364671955,2.472168599,3.844162068,3.415461181,3.736093385,3.752186074,3.844952
